key;full1;full2;full3;full4;full5;full6;full7
димаша;дмитрий;;;;;;
димуха;дмитрий;;;;;;
димуша;дмитрий;;;;;;
димуля;дмитрий;;;;;;
димуся;дмитрий;;;;;;
митя;дмитрий;;;;;;
митяй;дмитрий;;;;;;
митюля;дмитрий;;;;;;
митуля;дмитрий;;;;;;
митюня;дмитрий;;;;;;
митюха;дмитрий;;;;;;
митюша;дмитрий;;;;;;
митяха;дмитрий;;;;;;
митяша;дмитрий;;;;;;
митря;дмитрий;;;;;;
митра;дмитрий;;;;;;
митраша;дмитрий;;;;;;
митрюха;дмитрий;;;;;;
митрюша;дмитрий;;;;;;
доми;доминик;;;;;;
домушка;доминик;;;;;;
домка;доминик;;;;;;
дом;доминик;;;;;;
донатка;донат;;;;;;
данюша;донат;;;;;;
источник;евгений;;;;;;
не;евгений;;;;;;
указан;евгений;;;;;;
дня;евгений;;;;;;
евгена;евгений;;;;;;
жеша;евгений;;;;;;
евгеха;евгений;;;;;;
евсейка;евсей;;;;;;
евсюта;евсей;;;;;;
еремейка;еремей;;;;;;
ерема;еремей;;;;;;
еря;еремей;;;;;;
ема;еремей;;;;;;
ерофе;ерофей;;;;;;
йка;ерофей;;;;;;
ня;ерофей;;;;;;
ефимка;ефим;;;;;;
фима;ефим/серафима;;;;;;
фимуля;ефим;;;;;;
фиша;ефим;;;;;;
жданко;ждан;;;;;;
иванка;иван;;;;;;
иваня;иван;;;;;;
иванюха;иван;;;;;;
иванюша;иван;;;;;;
ивася;иван;;;;;;
ивасик;иван;;;;;;
иваха;иван;;;;;;
иваша;иван;;;;;;
иша;иван;;;;;;
ишута;иван;;;;;;
ваня;иван;;;;;;
ванюха;иван;;;;;;
ванюша;иван;;;;;;
ванюра;иван;;;;;;
ванюся;иван;;;;;;
ванюта;иван;;;;;;
ванютя;иван;;;;;;
ванята;иван;;;;;;
игнатка;игнатий;;;;;;
игнаха;игнатий;;;;;;
игнаша;игнатий;;;;;;
игоня;игнатий;;;;;;
игоша;игорь;;;;;;
игорька;игорь;;;;;;
игорка;игорь;;;;;;
игорек;игорь;;;;;;
игоряша;игорь;;;;;;
игораша;игорь;;;;;;
игорюха;игорь;;;;;;
игорюша;игорь;;;;;;
готя;игорь;;;;;;
игуля;игорь;;;;;;
игуся;игорь;;;;;;
изя;израиль;;;;;;
изи;израиль;;;;;;
сруль;израиль;;;;;;
ильюха;илья;;;;;;
ильюша;илья;;;;;;
иля;илья;;;;;;
иляха;илья;;;;;;
илюха;илья;;;;;;
илюша;илья;;;;;;
илюся;илья;;;;;;
илюня;илья;;;;;;
акимка;иоаким;;;;;;
якимка;иоаким;;;;;;
ирюха;ириней;;;;;;
ирюша;ириней;;;;;;
исмагил;исмаил;;;;;;
иудка;иуда;;;;;;
юда;иуда;;;;;;
казик;казимир;;;;;;
кирилка;кирилл;;;;;;
киря;кирилл;;;;;;
кирюха;кирилл;;;;;;
кируха;кирилл;;;;;;
кирюша;кирилл;;;;;;
кирюня;кирилл;;;;;;
кируня;кирилл;;;;;;
киряха;кирилл;;;;;;
киряша;кирилл;;;;;;
константинка;константин;;;;;;
костя;константин;;;;;;
коста;константин;;;;;;
костюха;константин;;;;;;
костюша;константин;;;;;;
костюня;константин;;;;;;
костюра;константин;;;;;;
костяня;константин;;;;;;
костяха;константин;;;;;;
костяша;константин;;;;;;
кося;константин;;;;;;
котя;константин;;;;;;
коташа;константин;;;;;;
кузя;кузьма;;;;;;
кузюта;кузьма;;;;;;
кузяха;кузьма;;;;;;
кузяша;кузьма;;;;;;
кузена;кузьма;;;;;;
куприянка;куприян;;;;;;
куприяша;куприян;;;;;;
купря;куприян;;;;;;
левушка;лев;;;;;;
левуня;лев;;;;;;
левуся;лев;;;;;;
лева;лев;леонтий;;;;;
леонидка;леонид;;;;;;
леоня;леонид;леонтий;;;;;
ленюся;леонид;;;;;;
ледя;леонид;;;;;;
леонтьюшка;леонтий;;;;;;
луканя;лука;;;;;;
луконя;лука;;;;;;
лукаря;лука;;;;;;
лукася;лука;;;;;;
лукаха;лука;;;;;;
лукаша;лука;;;;;;
золоташа;лука;;;;;;
лукьянка;лукьян;;;;;;
луканка;лукьян;;;;;;
лутоня;лукьян;;;;;;
лутоха;лукьян;;;;;;
лутоша;лукьян;;;;;;
макарка;макар;;;;;;
макарша;макар;;;;;;
макаша;макар;;;;;;
максимка;максим;;;;;;
макся;максим;;;;;;
максюта;максим;;;;;;
максюша;максим;;;;;;
сима;серафима;;;;;;
максимильянка;максимилиан;;;;;;
лианка;максимилиан;;;;;;
маркуха;марк;;;;;;
маркуша;марк;;;;;;
маркуся;марк;;;;;;
мартуся;марк;;;;;;
мартиня;мартын;;;;;;
мартя;мартын;;;;;;
мартиша;мартын;;;;;;
мартюня;мартын;;;;;;
мартюха;мартын;;;;;;
мартюша;мартын;;;;;;
мартынка;мартын;;;;;;
матвейка;матвей;;;;;;
матя;матвей;;;;;;
матюха;матвей;;;;;;
матюша;матвей;;;;;;
матяха;матвей;;;;;;
матяша;матвей;;;;;;
мотя;матвей;;;;;;
регинка;регина;;;;;;
реня;регина;;;;;;
гина;регина;;;;;;
риммушка;римма;;;;;;
риммура;римма;;;;;;
рима;римма;;;;;;
римуля;римма;;;;;;
светланка;светлана;;;;;;
света;светлана;;;;;;
светуля;светлана;;;;;;
светуня;светлана;;;;;;
светуся;светлана;;;;;;
светуха;светлана;;;;;;
светуша;светлана;;;;;;
светка;светлана;;;;;;
серафимка;серафима;;;;;;
симуля;серафима;;;;;;
симуня;серафима;;;;;;
симура;серафима;;;;;;
симуха;серафима;;;;;;
симуша;серафима;;;;;;
има;серафима;;;;;;
фина;серафима;;;;;;
синклити;синклитикия;;;;;;
секле;синклитикия;;;;;;
тея;синклитикия;;;;;;
секлети;синклитикия;;;;;;
нья;синклитикия;;;;;;
синкли;синклитикия;;;;;;
та;синклитикия;;;;;;
синклиту;синклитикия;;;;;;
кли;синклитикия;;;;;;
тя;синклитикия;;;;;;
софьюшка;софия;;;;;;
софа;софия;;;;;;
соня;софия;;;;;;
сона;софия;;;;;;
сонюша;софия;;;;;;
томочка;тамара;;;;;;
тамми;тамара;;;;;;
англ;тамара;;;;;;
тамуна;тамара;;;;;;
тамрико;тамара;;;;;;
груз;тамара;;;;;;
татьянка;татьяна;;;;;;
таня;татьяна;;;;;;
танюха;татьяна;;;;;;
танюша;татьяна;;;;;;
танюра;татьяна;;;;;;
танюся;татьяна;;;;;;
танечка;татьяна;;;;;;
танюта;татьяна;;;;;;
татуля;татьяна;;;;;;
татуня;татьяна;;;;;;
юлианка;ульяна;;;;;;
юля;юлия;;;;;;
ульянка;ульяна;;;;;;
уля;ульяна;;;;;;
ульяха;ульяна;;;;;;
ульяша;ульяна;;;;;;
ляна;ульяна;;;;;;
яна;ульяна;;;;;;
фаинка;фаина;;;;;;
фаюша;фаина;;;;;;
фаля;фаина;;;;;;
нафаня;фаина;;;;;;
фая;фаина;;;;;;
федосьюшка;феодосия;;;;;;
федося;федосей/феодосия;;;;;;
федоса;феодосия;;;;;;
федя;федор;;;;;;
феда;феодосия;;;;;;
феня;феодосия;;;;;;
фена;феодосия;;;;;;
целестинка;целестина;;;;;;
целя;целестина;;;;;;
эля;элеонора;;;;;;
элюша;элеонора;;;;;;
нора;элеонора;;;;;;
эллочка;элла;;;;;;
элка;элла;;;;;;
элыч;элла;;;;;;
эльвирка;эльвира;;;;;;
элюня;эльвира;;;;;;
элюна;эльвира;;;;;;
элюся;эльвира;;;;;;
ела;эльвира;;;;;;
эмиля;эмилия;;;;;;
эма;эмилия;;;;;;
юла;юлия;;;;;;
юлюся;юлия;;;;;;
юна;ювеналий;;;;;;
юня;юния;;;;;;
янка;яна;;;;;;
яночка;яна;;;;;;
януля;яна;;;;;;
януся;яна;;;;;;
януша;яна;;;;;;
янушка;яна;;;;;;
янюша;яна;;;;;;
яника;яна;;;;;;
мелетьюшка;мелентий;;;;;;
мелеха;мелентий;;;;;;
мелеша;мелентий;;;;;;
мефодя;мефодий;;;;;;
нефедка;мефодий;;;;;;
федюша;федор;;;;;;
милош;милорад;;;;;;
радек;милорад;;;;;;
радко;милорад;;;;;;
михаилушка;михаил;;;;;;
миха;михаил;;;;;;
миша;михаил;;;;;;
мишака;михаил;;;;;;
мишаня;михаил;;;;;;
мишара;михаил;;;;;;
мишата;михаил;;;;;;
мишука;михаил;;;;;;
мишуля;михаил;;;;;;
мишуня;михаил;;;;;;
мишура;михаил;;;;;;
мишута;михаил;;;;;;
михаля;михаил;;;;;;
миханя;михаил;;;;;;
михася;михаил;;;;;;
миня;михаил;;;;;;
миняша;михаил;;;;;;
минаша;михаил;;;;;;
минюша;михаил;;;;;;
минуша;михаил;;;;;;
михайлушка;михаил;;;;;;
михай;михаил;;;;;;
мстиславчик;мстислав;;;;;;
мстиславка;мстислав;;;;;;
мстиша;мстислав;;;;;;
назарка;назар;;;;;;
зоря;назар;;;;;;
никитка;никита;;;;;;
никиха;никита;;;;;;
никиша;никита;;;;;;
никеня;никита;;;;;;
кеня;никита;;;;;;
никеша;никита;;;;;;
кеша;никита;;;;;;
кита;никита;;;;;;
николайка;николай;;;;;;
николаха;николай;;;;;;
николаша;николай;;;;;;
николя;николай;;;;;;
коля;николай;;;;;;
колюня;николай;;;;;;
колюся;николай;;;;;;
колюха;николай;;;;;;
колюша;николай;;;;;;
коляня;николай;;;;;;
коляха;николай;;;;;;
коляша;николай;;;;;;
никаха;николай;;;;;;
нилушка;нил;;;;;;
нилок;нил;;;;;;
неилик;нил;;;;;;
олегушка;олег;;;;;;
олежка;олег;;;;;;
олеся;олег;;;;;;
лега;олег;;;;;;
анисимушка;онисим;;;;;;
иося;осип;;;;;;
осипка;осип;;;;;;
ося;осип;;;;;;
павелка;павел;;;;;;
павлик;павел;;;;;;
павлуня;павел;;;;;;
павлюня;павел;;;;;;
павлуся;павел;;;;;;
павлюся;павел;;;;;;
павлуха;павел;;;;;;
павлуша;павел;;;;;;
павля;павел;;;;;;
павлюка;павел;;;;;;
павлюкаша;павел;;;;;;
павша;павел;;;;;;
паха;павел;;;;;;
пашата;павел;;;;;;
пашуня;павел;;;;;;
пашута;павел;;;;;;
пашуха;павел;;;;;;
панюта;павел;;;;;;
панюха;павел;;;;;;
паняша;павел;;;;;;
паля;павел;;;;;;
палюня;павел;;;;;;
палуня;павел;;;;;;
панкратка;панкратий;;;;;;
панкраха;панкратий;;;;;;
панкраша;панкратий;;;;;;
кратя;панкратий;;;;;;
пантелеймонка;пантелеймон;;;;;;
пантя;пантелеймон;;;;;;
пантюха;пантелеймон;;;;;;
пантюша;пантелеймон;;;;;;
моня;пантелеймон;;;;;;
пантелейка;пантелеймон;;;;;;
пантелюха;пантелеймон;;;;;;
пантелюша;пантелеймон;;;;;;
петя;петр;;;;;;
петруня;петр;;;;;;
петюня;петр;;;;;;
петюля;петр;;;;;;
петруся;петр;;;;;;
петруха;петр;;;;;;
петруша;петр;;;;;;
платонка;платон;;;;;;
платоня;платон;;;;;;
платоха;платон;;;;;;
платоша;платон;;;;;;
плата;платон;;;;;;
тоха;платон;;;;;;
потапка;потап;;;;;;
потаня;потап;;;;;;
пота;потап;;;;;;
патя;потап;;;;;;
протаска;протасий;;;;;;
протася;протасий;;;;;;
протя;протасий;;;;;;
протасьюшка;протасий;;;;;;
проша;прохор;;;;;;
прошенька;прохор;;;;;;
прошечка;прохор;;;;;;
прошуня;прохор;;;;;;
пронечка;прохор;;;;;;
пронюшка;прохор;;;;;;
роб;роберт;;;;;;
боб;роберт;;;;;;
бобби;роберт;;;;;;
робби;роберт;;;;;;
берт;роберт;;;;;;
берти;роберт;;;;;;
родионка;родион;;;;;;
родиоша;родион;;;;;;
родя;родион;;;;;;
родюша;родион;;;;;;
романка;роман;;;;;;
ромаха;роман;;;;;;
ромаша;роман;;;;;;
романя;роман;;;;;;
рома;роман;;;;;;
ромася;роман;;;;;;
ромуля;роман;;;;;;
еруслан;руслан;;;;;;
уруслан;руслан;;;;;;
русланка;руслан;;;;;;
русланбек;руслан;;;;;;
русланид;руслан;;;;;;
саввушка;савва;;;;;;
савельюшка;савелий;;;;;;
савелка;савелий;;;;;;
самуилка;самуил;;;;;;
самуня;самуил;;;;;;
самуха;самуил;;;;;;
самойлушка;самуил;;;;;;
самоня;самуил;;;;;;
самоха;самуил;;;;;;
самоша;самуил;;;;;;
святославка;святослав;;;;;;
свята;святослав;;;;;;
сема;семен;;;;;;
семенка;семен;;;;;;
сенюха;семен;;;;;;
сенюша;семен;;;;;;
симаня;семен;;;;;;
симоня;семен;;;;;;
серапионка;серапион;;;;;;
серпя;серапион;;;;;;
серпа;серапион;;;;;;
сергейка;сергей;;;;;;
сергуля;сергей;;;;;;
сергуня;сергей;;;;;;
сергуна;сергей;;;;;;
сергуся;сергей;;;;;;
сергуша;сергей;;;;;;
гуша;сергей;;;;;;
сережа;сергей;;;;;;
серж;сергей;;;;;;
сереня;сергей;;;;;;
сильвеструшка;сильвестр;;;;;;
силя;сильвестр;;;;;;
сива;сильвестр;;;;;;
селиверстка;сильвестр;;;;;;
селя;сильвестр;;;;;;
сильверстка;сильвестр;;;;;;
созонка;созон;;;;;;
зоня;созон;;;;;;
станиславка;станислав;;;;;;
станя;станислав;;;;;;
стас;станислав;;;;;;
степанка;степан;;;;;;
степаня;степан;;;;;;
степаха;степан;;;;;;
степаша;степан;;;;;;
степа;степан;;;;;;
степуня;степан;;;;;;
степура;степан;;;;;;
степуха;степан;;;;;;
степуша;степан;;;;;;
стеша;степан;;;;;;
стеня;степан;;;;;;
стенюша;степан;;;;;;
терентьюшка;терентий;;;;;;
тереня;терентий;;;;;;
тереха;терентий;;;;;;
тереша;терентий;;;;;;
теша;терентий;;;;;;
теря;терентий;;;;;;
терюша;терентий;;;;;;
тимофейка;тимофей;;;;;;
тимоха;тимофей;;;;;;
тимоша;тимофей;;;;;;
тимоня;тимофей;;;;;;
тимося;тимофей;;;;;;
тимуня;тимофей;;;;;;
тима;тимофей;;;;;;
тиманя;тимофей;;;;;;
тимаха;тимофей;;;;;;
тимаша;тимофей;;;;;;
шка;трифон;;;;;;
трухма;трифон;;;;;;
трифа;трифон;;;;;;
федорка;федор;;;;;;
федуля;федор;;;;;;
федюня;федор;;;;;;
федуня;федор;;;;;;
федюля;федор;;;;;;
дюня;федор;;;;;;
федюся;федор;;;;;;
федуся;федор;;;;;;
дюся;федор;;;;;;
федюха;федор;;;;;;
федяйка;федор;;;;;;
федяка;федор;;;;;;
федька;федор;;;;;;
федечка;федор;;;;;;
федяня;федор;;;;;;
федяха;федор;;;;;;
федяша;федор;;;;;;
федян;федор;;;;;;
феся;федосей;;;;;;
феша;федосей;;;;;;
федосейка;федосей;;;;;;
филипка;филипп;;;;;;
филя;филипп;;;;;;
филюха;филипп;;;;;;
филюша;филипп;;;;;;
липа;филипп;;;;;;
фомка;фома;;;;;;
христофорка;христофор;;;;;;
эдуардик;эдуард;;;;;;
эдик;эдуард;;;;;;
эдя;эдуард;;;;;;
эдюня;эдуард;;;;;;
юва;ювеналий;;;;;;
веля;ювеналий;;;;;;
юлечка;юлий;;;;;;
юра;юрий;;;;;;
юраня;юрий;;;;;;
юрася;юрий;;;;;;
юраха;юрий;;;;;;
юраша;юрий;;;;;;
юреня;юрий;;;;;;
юрченя;юрий;;;;;;
юка;юрий;;;;;;
юша;юрий;;;;;;
яша;яков;;;;;;
яшка;яков;;;;;;
яшечка;яков;;;;;;
яшуня;яков;;;;;;
яшик;яков;;;;;;
ярославка;ярослав;;;;;;
рося;ярослав;;;;;;
